;vocab_male;vocab_male_count;vocab_female;vocab_female_count
0;time;666;time;206
1;man;609;jack;178
2;way;553;something;178
3;something;474;way;174
4;jack;437;look;155
5;look;388;man;136
6;thing;347;life;119
7;day;335;night;110
8;world;304;day;109
9;let;298;thing;100
10;life;293;home;94
11;get;279;hand;84
12;hey;274;get;84
13;gonna;254;nothing;83
14;thor;251;let;83
15;nothing;244;everything;80
16;hand;225;face;79
17;yeah;222;world;78
18;face;221;room;72
19;help;216;work;72
20;john;209;please;72
21;work;207;serendipity;72
22;home;204;anything;71
23;place;202;ravenna;68
24;hell;201;jane;66
25;night;197;help;66
26;mr;193;god;64
27;anything;191;thor;64
28;head;187;see;62
29;guy;185;place;61
30;someone;177;someone;61
31;everything;176;sorry;59
32;see;173;name;57
33;sir;165;moment;57
34;tell;164;tell;56
35;jay;163;kind;56
36;please;161;need;55
37;woody;159;love;53
38;paul;159;head;52
39;script;159;hey;52
40;name;156;mission;51
41;room;155;yeah;50
42;job;154;princess;50
43;kind;147;perseus;50
44;sorry;146;woman;49
45;doug;141;everyone;49
46;air;141;john;48
47;course;140;gonna;48
48;call;140;father;47
49;door;139;heart;47
50;everyone;138;girl;47
51;idea;137;sword;46
52;water;136;guy;45
53;moment;134;wait;45
54;ship;133;job;44
55;need;132;talk;44
56;fire;131;sir;44
57;talk;131;ground;41
58;body;131;door;41
59;wait;129;okay;41
60;car;126;number;41
61;lot;126;part;40
62;okay;125;side;39
63;son;123;water;39
64;problem;120;space;39
65;power;119;family;39
66;ground;116;idea;39
67;family;116;houston;39
68;god;114;baby;38
69;friend;112;stop;38
70;town;112;int;37
71;house;108;stone;37
72;mind;107;mr;36
73;space;105;car;36
74;gotta;105;house;36
75;war;104;story;36
76;line;103;earth;35
77;anyone;103;cont;35
78;money;103;copy;35
79;voice;102;mom;35
80;kay;102;watch;34
81;father;101;war;34
82;part;101;town;34
83;care;100;today;34
84;think;99;care;34
85;dad;98;power;34
86;cont;96;course;33
87;stop;96;call;32
88;girl;94;president;32
89;earth;94;script;32
90;master;93;ha;32
91;dudley;93;thank;31
92;dream;93;lot;31
93;right;91;johnny;31
94;guess;91;ship;30
95;try;91;v;30
96;side;90;hell;30
97;graham;90;victoria;29
98;mission;89;oh;29
99;thank;88;guess;29
100;end;88;dad;29
101;move;87;matter;28
102;boy;85;think;28
103;heart;83;blood;28
104;tomorrow;82;money;28
105;morning;82;eye;28
106;road;82;line;28
107;today;82;floor;27
108;control;81;boy;27
109;planet;81;tomorrow;27
110;woman;81;anyone;27
111;wife;79;case;27
112;word;78;arm;27
113;president;78;shrek;27
114;kid;78;mind;26
115;floor;77;air;26
116;eye;77;son;26
117;point;77;half;26
118;death;76;friend;26
119;business;76;body;26
120;matter;75;daughter;25
121;phone;75;mean;25
122;mater;75;mother;25
123;year;74;bubbleship;25
124;damn;74;creature;25
125;watch;74;master;25
126;truck;73;william;25
127;security;73;show;24
128;huh;73;te;24
129;book;73;understand;24
130;chance;72;move;24
131;ruth;72;eat;24
132;story;72;end;23
133;kill;71;trust;23
134;city;70;voice;23
135;mean;70;peshet;23
136;show;70;right;23
137;loki;70;word;23
138;henri;69;doctor;23
139;everybody;68;tower;23
140;screening;67;finn;23
141;bob;66;tiamat;23
142;agent;66;fire;23
143;street;66;planet;23
144;ice;66;use;23
145;v;66;paul;23
146;number;65;screening;22
147;stay;65;city;22
148;captain;65;try;22
149;mom;65;hair;22
150;school;65;problem;22
151;storm;65;piece;22
152;jane;64;daddy;21
153;jesus;64;morning;21
154;minute;63;brother;21
155;baby;63;phone;20
156;int;62;death;20
157;half;62;business;20
158;somebody;62;wife;20
159;computer;62;tet;20
160;shrek;62;hurry;20
161;use;62;feel;20
162;plan;61;zeus;20
163;blood;61;flight;20
164;hello;60;dr;20
165;ass;60;nobody;20
166;party;60;group;20
167;peter;60;sky;20
168;scout;60;book;20
169;oh;60;stay;20
170;professor;59;julia;19
171;step;59;beauty;19
172;whoa;59;die;19
173;nobody;59;year;19
174;gun;58;gotta;19
175;figure;58;come;19
176;love;57;road;19
177;meet;57;station;19
178;force;57;mirror;19
179;rv;56;site;19
180;eat;56;guard;19
181;radio;56;chance;19
182;feel;56;ruth;18
183;cause;55;news;18
184;deal;55;dance;18
185;case;55;horse;18
186;trip;55;field;18
187;question;55;hour;18
188;team;54;uh;18
189;sam;54;structure;18
190;start;54;land;18
191;system;54;race;18
192;trouble;54;control;18
193;drone;54;lord;17
194;mother;54;mu;17
195;memory;54;david;17
196;energy;54;board;17
197;bishop;54;music;17
198;hole;53;trouble;17
199;race;53;gun;17
200;order;53;agent;17
201;bridge;53;sound;17
202;arm;53;food;17
203;attention;53;plan;17
204;machine;52;point;17
205;food;52;hello;17
206;shit;52;meet;17
207;trust;52;shut;17
208;week;52;jesus;17
209;bond;52;system;17
210;sit;52;wall;17
211;hope;51;woody;16
212;battle;51;captain;16
213;fuel;51;sarah;16
214;die;51;distance;16
215;shoot;51;palace;16
216;come;51;team;16
217;princess;50;everybody;16
218;bit;50;figure;16
219;beat;50;drop;16
220;hold;49;mrs;16
221;uh;49;mark;16
222;tv;49;kill;16
223;company;49;jake;16
224;excuse;49;mon;16
225;group;49;mine;16
226;doctor;49;cut;16
227;field;49;silence;16
228;perseus;49;victor;16
229;take;48;cause;16
230;gold;48;bai;16
231;government;48;beat;16
232;zoil;48;andromeda;16
233;news;48;rescue;15
234;ward;47;street;15
235;brother;47;donkey;15
236;station;46;form;15
237;truth;46;date;15
238;stuff;46;take;15
239;understand;46;husband;15
240;ha;46;seat;15
241;rest;45;boat;15
242;person;45;suv;15
243;fact;45;castle;15
244;fight;45;storm;15
245;sword;45;mountain;15
246;seat;45;step;15
247;finn;45;start;15
248;check;45;stuff;15
249;suit;44;li;15
250;mrs;44;center;15
251;parker;44;worker;15
252;bar;44;hate;14
253;gas;44;school;14
254;ray;44;zoil;14
255;picture;44;shoot;14
256;glass;43;answer;14
257;plane;43;order;14
258;sea;43;metal;14
259;bifrost;43;dog;14
260;frost;43;bar;14
261;report;43;child;14
262;catch;43;mater;14
263;spider;42;fox;14
264;bubbleship;42;battle;14
265;sarah;42;chair;14
266;drop;42;memory;14
267;game;42;dinner;14
268;mine;42;huh;14
269;wall;42;equipment;14
270;promise;42;breath;14
271;cover;41;chamber;14
272;bring;41;peter;14
273;office;41;excuse;14
274;change;41;somebody;14
275;heard;41;week;14
276;area;41;attention;14
277;army;41;suit;14
278;mark;41;sit;14
279;cut;41;front;14
280;judge;41;darcy;14
281;information;40;star;14
282;camera;40;army;13
283;honey;40;coffee;13
284;share;40;break;13
285;fun;40;highness;13
286;breath;39;report;13
287;board;39;choice;13
288;yaz;39;duke;13
289;none;39;ruby;13
290;hour;39;dark;13
291;mouth;38;dagger;13
292;boat;38;area;13
293;sand;38;clock;13
294;base;38;find;13
295;thought;38;cell;13
296;christ;38;sea;13
297;c;38;person;13
298;leader;38;hammond;13
299;music;37;selvig;13
300;sense;37;light;13
301;command;37;tonight;13
302;hang;37;view;13
303;history;37;state;13
304;ride;37;penny;13
305;shot;37;party;13
306;guard;37;thought;13
307;hate;37;command;13
308;anybody;37;government;13
309;country;36;hi;13
310;sky;36;martin;13
311;play;36;faerie;12
312;bird;36;anastasia;12
313;reason;36;mouth;12
314;science;36;radio;12
315;grabs;36;security;12
316;hair;36;deal;12
317;christmas;36;fight;12
318;turn;36;hear;12
319;wanna;36;minute;12
320;choice;35;hall;12
321;pull;35;drive;12
322;wow;35;screen;12
323;bitch;35;wake;12
324;shield;35;stand;12
325;rock;35;graham;12
326;pay;35;fall;12
327;mon;35;grabs;12
328;alright;35;plane;12
329;center;35;yu;12
330;beer;35;robbie;12
331;percent;35;marriage;12
332;service;34;village;12
333;jim;34;fleet;12
334;land;34;edge;12
335;daughter;34;play;12
336;brain;34;gru;12
337;building;34;exchange;12
338;run;34;farm;12
339;silence;34;hope;12
340;ben;34;c;12
341;paranorman;34;bishop;12
342;sound;34;position;12
343;selvig;34;leader;12
344;weapon;34;throne;12
345;level;34;turn;11
346;engine;34;bridge;11
347;sign;33;camp;11
348;ah;33;loki;11
349;worry;33;judge;11
350;foot;33;shit;11
351;state;33;heard;11
352;rachel;33;map;11
353;pain;33;cobb;11
354;wake;33;wudan;11
355;flight;33;sam;11
356;want;32;saw;11
357;victoria;32;pain;11
