;vocab_male;vocab_male_count;vocab_female;vocab_female_count
0;script;157;time;58
1;time;154;look;53
2;something;128;something;46
3;hey;126;way;44
4;way;118;home;39
5;yeah;105;princess;37
6;man;103;script;32
7;look;98;night;31
8;gonna;82;mom;31
9;let;81;ha;31
10;thing;78;everyone;30
11;dragon;76;coraline;30
12;master;76;yeah;29
13;mater;75;thing;29
14;wait;71;draft;29
15;jack;70;someone;29
16;screening;67;shrek;27
17;draft;67;mother;25
18;get;67;oh;25
19;shrek;62;world;25
20;world;55;anything;25
21;work;54;let;25
22;help;53;please;23
23;body;53;screening;22
24;someone;52;course;22
25;everyone;50;gonna;22
26;whoa;50;hand;21
27;home;50;love;21
28;mr;49;get;21
29;anything;49;sorry;20
30;ha;49;work;20
31;face;47;man;20
32;please;46;nothing;20
33;nothing;45;dad;19
34;friend;44;day;19
35;okay;44;everything;18
36;day;44;dragon;18
37;oh;43;talk;17
38;princess;43;door;17
39;night;42;stop;17
40;place;42;guy;16
41;kind;41;huh;16
42;judge;40;okay;16
43;head;40;help;16
44;book;40;donkey;15
45;huh;39;worker;15
46;life;38;wait;15
47;voice;38;heart;15
48;everything;38;see;15
49;boy;38;mater;14
50;sorry;37;mean;14
51;v;37;hey;14
52;see;37;kind;14
53;stop;36;tell;13
54;anyone;34;hello;13
55;paranorman;34;uh;13
56;name;34;need;13
57;idea;34;jack;12
58;mean;33;anastasia;12
59;baby;33;side;12
60;dad;33;name;12
61;tell;32;gru;12
62;norman;32;life;11
63;tv;32;judge;11
64;uh;32;boy;11
65;mind;31;think;11
66;kid;31;lot;11
67;talk;31;b;11
68;son;30;fiona;11
69;gotta;30;face;11
70;z;30;girl;11
71;mitch;30;lord;10
72;thank;29;head;10
73;door;29;highness;10
74;course;28;dmitri;10
75;ah;28;food;10
76;school;27;money;10
77;city;27;hiccup;10
78;town;27;baby;10
79;alvin;27;httyd;10
80;air;26;mr;9
81;hand;26;farquaad;9
82;guy;26;mitch;9
83;car;26;right;9
84;courtney;26;son;9
85;sir;26;chair;9
86;need;26;today;9
87;radio;25;anyone;9
88;hello;25;friend;9
89;house;25;norman;9
90;frost;25;line;9
91;httyd;25;house;9
92;room;24;number;9
93;right;24;part;9
94;ground;24;play;9
95;today;24;z;9
96;think;24;hair;9
97;lot;24;street;8
98;heart;24;room;8
99;prenderghast;24;wybie;8
100;cause;24;break;8
101;puss;23;master;8
102;line;23;swamp;8
103;try;23;bar;8
104;eat;23;paranorman;8
105;call;22;date;8
106;pitch;22;thank;8
107;morning;22;care;8
108;somebody;22;tomorrow;8
109;bird;22;show;8
110;power;22;caroline;8
111;everybody;21;excuse;8
112;truck;21;hurry;8
113;dream;21;town;8
114;show;21;v;8
115;death;21;guess;8
116;road;21;feel;8
117;hiccup;21;courtney;8
118;witch;21;game;8
119;race;21;garden;8
120;promise;21;party;8
121;oil;20;hold;7
122;guess;20;hop;7
123;nobody;20;god;7
124;shifu;19;mud;7
125;mom;19;anya;7
126;c;19;water;7
127;mon;19;witch;7
128;victor;19;everybody;7
129;holley;19;car;7
130;francesco;18;dinner;7
131;floor;18;year;7
132;perry;18;gotta;7
133;feel;18;start;7
134;fun;18;fairy;7
135;toothless;18;finn;7
136;matter;17;arm;7
137;cont;17;whoa;7
138;trouble;17;race;7
139;love;17;tonight;7
140;tomorrow;17;class;7
141;kevin;17;eat;7
142;alright;17;problem;7
143;finn;17;rescue;6
144;wow;17;formica;6
145;point;17;hide;6
146;stuff;17;matter;6
147;job;17;fork;6
148;van;17;dance;6
149;girl;17;father;6
150;warrior;16;memory;6
151;minute;16;pitch;6
152;figure;16;group;6
153;care;16;hooper;6
154;come;16;morning;6
155;bala;16;seat;6
156;fiona;16;job;6
157;moment;16;mice;6
158;watch;16;woman;6
159;street;15;hurrah;6
160;hero;15;dream;6
161;side;15;idea;6
162;mcqueen;15;brother;6
163;war;15;plan;6
164;change;15;understand;6
165;ow;15;moment;6
166;family;15;stuff;6
167;science;15;sir;6
168;story;15;cause;6
169;part;15;frank;6
170;easter;15;hi;6
171;game;15;stormfly;6
172;russell;15;beast;6
173;hold;14;grandmama;6
174;professor;14;thief;6
175;bomb;14;lung;6
176;hang;14;hero;5
177;father;14;hurt;5
178;mrs;14;machine;5
179;worry;14;palace;5
180;moon;14;mine;5
181;woman;14;watch;5
182;none;14;bachelorette;5
183;fire;14;child;5
184;roxanne;14;air;5
185;center;14;voice;5
186;hall;14;make;5
187;hi;14;rain;5
188;panda;13;trouble;5
189;curse;13;minute;5
190;agent;13;die;5
191;business;13;hall;5
192;eye;13;place;5
193;gru;13;city;5
194;move;13;wake;5
195;bring;13;mon;5
196;party;13;empress;5
197;thought;13;miriam;5
198;bud;13;hmmm;5
199;stay;13;sound;5
200;chance;13;mustangburger;5
201;word;12;family;5
202;end;12;fire;5
203;worker;12;mind;5
204;fear;12;cinco;5
205;date;12;fun;5
206;avid;12;cut;5
207;engine;12;story;5
208;ya;12;doll;5
209;kill;12;land;5
210;start;12;use;5
211;history;12;move;5
212;jamie;12;bye;5
213;arm;12;shut;5
214;bit;12;truck;5
215;meet;12;sky;5
216;control;12;count;5
217;tai;12;book;5
218;lung;12;stay;5
219;mate;12;chance;5
220;hope;12;paris;4
221;wilderness;12;music;4
222;ho;12;phone;4
223;army;11;end;4
224;honey;11;hang;4
225;bunny;11;listen;4
226;mine;11;person;4
227;cut;11;mouth;4
228;water;11;bat;4
229;mustangburger;11;fault;4
230;excuse;11;christmas;4
231;food;11;picture;4
232;reason;11;puss;4
233;silence;11;cool;4
234;townsfolk;11;roxanne;4
235;step;11;drago;4
236;peace;11;agent;4
237;use;11;tale;4
238;dug;11;jock;4
239;scroll;11;lunch;4
240;po;11;valka;4
241;problem;11;mrs;4
242;dog;10;come;4
243;ice;10;engine;4
244;fury;10;death;4
245;team;10;tower;4
246;sign;10;business;4
247;mcmissile;10;road;4
248;heard;10;forget;4
249;explorer;10;fall;4
250;year;10;sun;4
251;monster;10;eye;4
252;wake;10;paper;4
253;ogre;10;hell;4
254;sun;10;call;4
255;hell;10;horse;4
256;king;10;wow;4
257;plan;10;aggie;4
258;brent;10;village;4
259;camera;10;dare;4
260;sit;10;bit;4
261;beat;10;candy;4
262;hate;9;brent;4
263;path;9;bo;4
264;mess;9;wanna;4
265;order;9;visit;4
266;weakness;9;vehicle;4
267;tree;9;tai;4
268;prison;9;hope;4
269;die;9;ogre;4
270;memory;9;wall;4
271;fredricksen;9;c;4
272;colony;9;bala;4
273;breath;9;center;4
274;rest;9;thought;4
275;sense;9;position;4
276;blood;9;know;4
277;number;9;piece;4
278;play;9;circus;4
279;sandra;9;spell;4
280;alpha;9;mee;3
281;cry;9;word;3
282;attention;9;mo;3
283;understand;9;give;3
284;mouth;9;want;3
285;wanna;9;order;3
286;beedo;9;luck;3
287;land;9;promise;3
288;ingredient;9;toot;3
289;sort;9;tree;3
290;partner;9;rat;3
291;donkey;8;rasputin;3
292;palace;8;da;3
293;trust;8;beer;3
294;mother;8;bin;3
295;deal;8;mouse;3
296;christmas;8;disguise;3
297;fight;8;shoulder;3
298;battle;8;berk;3
299;level;8;shit;3
300;brother;8;floor;3
301;dadgum;8;welcome;3
302;soup;8;skin;3
303;half;8;choice;3
304;take;8;lynch;3
305;wood;8;cook;3
306;cannot;8;team;3
307;seat;8;chicken;3
308;week;8;learn;3
309;speed;8;change;3
310;wife;8;shifu;3
311;fairy;8;heard;3
312;ass;8;mail;3
313;storm;8;drop;3
314;cover;8;monster;3
315;bunnymund;8;card;3
316;fault;8;message;3
317;earth;8;sophie;3
318;villain;8;breakfast;3
319;computer;8;wonder;3
320;walk;8;meeshkas;3
321;news;8;wuss;3
322;quit;8;colony;3
323;lord;7;breath;3
324;rise;7;helmet;3
325;shoot;7;oil;3
326;locker;7;weee;3
327;hoo;7;ya;3
328;muffin;7;touch;3
329;project;7;lady;3
330;lift;7;exit;3
331;catch;7;ow;3
332;make;7;ahhh;3
333;wheel;7;ah;3
334;super;7;building;3
335;hear;7;alright;3
336;berk;7;tv;3
337;mirror;7;haaa;3
338;chair;7;duloc;3
339;macho;7;none;3
340;trial;7;fu;3
341;chocolate;7;catalog;3
342;spy;7;darling;3
343;remember;7;ass;3
344;window;7;station;3
345;em;7;storm;3
346;grandma;7;mmmm;3
347;henscher;7;marriage;3
348;pain;7;jamie;3
349;shot;7;fine;3
350;hooper;7;insane;3
351;blah;7;nope;3
352;check;7;attention;3
353;throw;7;orphanage;3
354;prepare;7;guido;3
355;fan;7;alvin;3
356;fall;7;shape;3
357;hurry;7;townsfolk;3
358;egg;7;step;3
359;fool;7;scroll;3
360;neil;7;try;3
361;paradise;7;jump;3
362;dirt;7;body;3
363;copper;7;danger;3
364;mountain;7;stage;3
365;person;7;porch;3
366;shape;7;la;3
367;run;7;dan;3
368;question;7;dah;3
369;train;7;front;3
370;barbatus;7;holland;3
371;mention;7;bet;3
372;front;7;fuel;3
373;class;7;joe;3
374;parker;7;hmm;3
375;fuel;7;stoick;3
376;salma;7;dust;3
377;cream;7;point;3
378;ball;7;sister;3
379;smoke;6;van;3
380;phone;6;margo;3
381;turn;6;vermin;2
382;wind;6;francesco;2
383;god;6;bike;2
384;prix;6;school;2
385;da;6;serebreakov;2
386;bag;6;screams;2
387;finger;6;mantis;2
388;boss;6;credit;2
389;bathroom;6;blade;2
390;mistake;6;root;2
391;radiator;6;example;2
392;opportunity;6;honey;2
393;escape;6;ceremony;2
394;bottom;6;answer;2
395;burn;6;pizza;2
396;crowd;6;beauty;2
397;trip;6;mess;2
398;smell;6;lab;2
399;focus;6;jumping;2
400;cool;6;london;2
401;sparky;6;gento;2
402;drago;6;silver;2
403;group;6;ewwww;2
404;message;6;lucy;2
405;crack;6;bowls;2
406;ant;6;mcqueen;2
407;duty;6;service;2
408;doctor;6;ew;2
409;dark;6;bridge;2
410;lady;6;strength;2
411;stand;6;alarm;2
412;building;6;dog;2
413;tail;6;radio;2
414;soldier;6;steal;2
415;stick;6;moron;2
416;miss;6;grandmother;2
417;mama;6;news;2
418;stall;6;debt;2
419;mack;6;protect;2
420;enemy;6;gratitude;2
421;aggie;6;lift;2
422;majesty;6;cont;2
423;cinco;6;yes;2
424;tigress;6;ham;2
425;gramma;6;cape;2
426;shock;6;crowd;2
427;system;6;gasps;2
428;attack;6;ice;2
429;wall;6;snotlout;2
430;beast;6;sshh;2
431;lobby;6;wrap;2
432;hair;6;support;2
433;corpse;6;fight;2
434;leader;6;war;2
435;hobbscap;6;form;2
436;margo;6;dowser;2
437;zundapp;6;hear;2
438;merlin;5;disgrace;2
439;force;5;fury;2
440;thunder;5;check;2
441;mel;5;smell;2
442;strike;5;spy;2
443;type;5;loyal;2
444;rescue;5;focus;2
445;answer;5;charge;2
446;thee;5;jerk;2
447;strength;5;gun;2
448;pinocchio;5;gum;2
449;farquaad;5;p;2
450;geez;5;sign;2
451;nature;5;paragon;2
452;interest;5;dude;2
453;child;5;club;2
454;snipe;5;cat;2
455;shame;5;stature;2
456;board;5;natasha;2
457;gasps;5;crazy;2
458;dinner;5;spot;2
459;afternoon;5;cute;2
460;prisoner;5;half;2
461;tie;5;bowling;2
462;picture;5;someplace;2
463;journey;5;henscher;2
464;dance;5;saw;2
465;deblois;5;take;2
466;flash;5;pain;2
467;dig;5;shop;2
468;fly;5;ground;2
469;soul;5;crime;2
470;laughter;5;pumpkin;2
471;rock;5;celebrate;2
472;el;5;parking;2
473;track;5;quack;2
474;corner;5;period;2
475;graveyard;5;stretch;2
476;sound;5;squash;2
477;pay;5;case;2
478;statue;5;ship;2
479;dare;5;worry;2
480;audience;5;pay;2
481;luck;5;summer;2
482;legacy;5;remember;2
483;distance;5;dark;2
484;taste;5;competition;2
485;ay;5;moon;2
486;field;5;volkswagen;2
487;flower;5;choo;2
488;case;5;stand;2
489;list;5;act;2
490;pass;5;os;2
491;gosh;5;ohh;2
492;glad;5;ad;2
493;gasp;5;cream;2
494;foot;5;idiot;2
495;hook;5;field;2
496;val;5;tail;2
497;hill;5;hideout;2
498;kung;5;fan;2
499;fu;5;list;2
500;relationship;5;grabs;2
501;movie;5;section;2
502;village;5;pick;2
503;damn;5;dowager;2
504;champion;5;faint;2
505;edge;5;glad;2
506;zombie;5;dey;2
507;shiftwell;5;history;2
508;insectopia;5;beautiful;2
509;ellie;5;share;2
510;jump;5;creature;2
511;oogway;5;vlad;2
512;rabbit;5;adventure;2
513;lock;5;refuse;2
514;bye;5;playing;2
515;babcock;5;suffer;2
516;scene;5;sauce;2
517;gobber;5;walla;2
518;gotcha;5;marry;2
519;neck;5;harm;2
520;afraid;5;ball;2
521;nefario;5;hill;2
522;fact;5;dirt;2
523;act;5;ask;2
524;bludvist;5;kung;2
525;superhero;5;castle;2
526;yay;5;fancy;2
527;know;5;revolution;2
528;sister;5;miss;2
529;branch;5;paint;2
530;buddy;4;store;2
