;vocab_male;vocab_male_count;vocab_female;vocab_female_count
0;time;238;time;77
1;man;203;yeah;64
2;way;180;way;63
3;money;177;thing;61
4;george;131;something;56
5;solomon;130;mr;54
6;something;124;money;54
7;day;118;gonna;50
8;mr;117;look;49
9;thing;117;house;44
10;nothing;115;please;44
11;gonna;114;day;43
12;yeah;112;work;42
13;get;106;man;41
14;anything;103;mrs;40
15;home;103;life;38
16;guy;100;someone;38
17;room;99;cause;37
18;everything;99;lot;36
19;house;99;anything;35
20;life;98;night;34
21;talk;97;okay;34
22;work;92;god;33
23;tell;91;son;33
24;name;90;nothing;33
25;look;88;tell;32
26;place;87;george;31
27;please;86;job;31
28;let;85;thank;30
29;hand;81;home;30
30;night;81;kind;29
31;call;74;everything;28
32;care;73;phone;27
33;see;73;room;27
34;lot;70;talk;27
35;family;70;erin;27
36;hey;69;disney;26
37;moment;67;call;26
38;country;64;name;26
39;problem;64;place;26
40;help;63;get;26
41;gotta;61;world;26
42;sir;61;hey;26
43;fuckin;60;e;26
44;head;60;hi;25
45;business;60;course;25
46;thank;59;hell;25
47;wife;58;see;25
48;world;58;help;24
49;v;58;care;22
50;president;57;family;22
51;son;56;solomon;20
52;mrs;55;problem;20
53;okay;55;huh;19
54;car;54;doctor;19
55;year;54;damn;19
56;field;54;pg;19
57;kind;54;stuff;19
58;point;53;woman;18
59;war;53;door;18
60;matter;52;number;18
61;today;51;celeste;18
62;fuck;51;sorry;17
63;game;51;office;17
64;job;51;mean;17
65;cause;50;gotta;17
66;water;48;pay;17
67;boy;48;ginty;17
68;course;48;case;17
69;peace;48;let;17
70;need;48;chromium;17
71;mean;47;word;16
72;paul;47;mind;16
73;word;45;car;16
74;city;45;think;16
75;pay;45;jesus;16
76;nobody;45;hand;15
77;everyone;44;right;15
78;phone;43;deal;15
79;half;43;father;15
80;em;43;guy;15
81;morning;43;water;15
82;sorry;42;boy;15
83;epps;42;year;15
84;team;42;girl;15
85;wait;41;morning;15
86;everybody;41;wife;15
87;watch;41;baby;15
88;someone;40;school;14
89;book;40;end;14
90;anyone;39;mistress;14
91;state;39;fight;14
92;week;38;head;14
93;woman;38;today;14
94;none;38;masry;14
95;peter;38;oh;14
96;brother;37;yah;14
97;tomorrow;36;feel;14
98;part;36;walter;14
99;casino;36;promise;14
